depth_thr_m,adm3_id,adm3_name,affected_pop,event_id,source,peak_date
0.5,54,City of Cauayan,0.0,HIST_0000,historical,1980-11-06
0.5,55,Alicia,0.0,HIST_0000,historical,1980-11-06
0.5,56,Banaue,0.0,HIST_0000,historical,1980-11-06
0.5,57,Quezon,0.0,HIST_0000,historical,1980-11-06
0.5,58,Mallig,0.0,HIST_0000,historical,1980-11-06
0.5,59,Sanchez-Mira,0.0,HIST_0000,historical,1980-11-06
0.5,60,San Isidro,0.0,HIST_0000,historical,1980-11-06
0.5,61,Cordon,0.0,HIST_0000,historical,1980-11-06
0.5,62,San Pablo,2066.476846420672,HIST_0000,historical,1980-11-06
0.5,63,Pasil,0.0,HIST_0000,historical,1980-11-06
0.5,64,Alfonso Lista,0.0,HIST_0000,historical,1980-11-06
0.5,65,Balbalan,0.0,HIST_0000,historical,1980-11-06
0.5,66,Kabugao,0.0,HIST_0000,historical,1980-11-06
0.5,67,Piat,2.777379035949707,HIST_0000,historical,1980-11-06
0.5,68,Mayoyao,0.0,HIST_0000,historical,1980-11-06
0.5,69,Lasam,83.2716053724289,HIST_0000,historical,1980-11-06
0.5,70,Luna,0.0,HIST_0000,historical,1980-11-06
0.5,71,Luna,0.0,HIST_0000,historical,1980-11-06
0.5,72,Tineg,0.0,HIST_0000,historical,1980-11-06
0.5,73,Reina Mercedes,0.0,HIST_0000,historical,1980-11-06
0.5,74,Divilacan,0.0,HIST_0000,historical,1980-11-06
0.5,75,Malibcong,0.0,HIST_0000,historical,1980-11-06
0.5,76,Santa Maria,1799.3323154554237,HIST_0000,historical,1980-11-06
0.5,77,Pudtol,0.0,HIST_0000,historical,1980-11-06
0.5,78,Lal-Lo,95.88942120783031,HIST_0000,historical,1980-11-06
0.5,79,Santa Teresita,0.0,HIST_0000,historical,1980-11-06
0.5,80,Tuguegarao City,91882.33195442217,HIST_0000,historical,1980-11-06
0.5,81,Allacapan,0.0,HIST_0000,historical,1980-11-06
0.5,82,Calanasan,0.0,HIST_0000,historical,1980-11-06
0.5,83,Aparri,0.0,HIST_0000,historical,1980-11-06
0.5,84,Iguig,9599.985008710995,HIST_0000,historical,1980-11-06
0.5,85,Bontoc,0.0,HIST_0000,historical,1980-11-06
0.5,86,Quirino,0.0,HIST_0000,historical,1980-11-06
0.5,87,Maconacon,0.0,HIST_0000,historical,1980-11-06
0.5,88,Gattaran,4346.044659392675,HIST_0000,historical,1980-11-06
0.5,89,Lagawe,0.0,HIST_0000,historical,1980-11-06
0.5,90,Burgos,0.0,HIST_0000,historical,1980-11-06
0.5,91,Pamplona,0.0,HIST_0000,historical,1980-11-06
0.5,92,Santa Praxedes,0.0,HIST_0000,historical,1980-11-06
0.5,93,Hingyon,0.0,HIST_0000,historical,1980-11-06
